,scaffold,output_order,start,end,mid,win_size,sites,lnL,topoC_count,topoA_count,topoB_couunt,topoC,topoA,topoB,scaffold.1,start_check,end_check,mid_check,sites_full,pi_Egglayer,pi_Brooder,dxy_Egglayer_Brooder,Fst_Egglayer_Brooder,scaffold.2,start_check_2,end_check_2,mid_check_2,sites_full_2,pi_arcana,pi_compressa,pi_n_sax,pi_spain,dxy_arcana_compressa,dxy_arcana_n_sax,dxy_arcana_spain,dxy_compressa_n_sax,dxy_compressa_spain,dxy_n_sax_spain,Fst_arcana_compressa,Fst_arcana_n_sax,Fst_arcana_spain,Fst_compressa_n_sax,Fst_compressa_spain,Fst_n_sax_spain,LG,av,inv_status
48891,Contig4098,20745,11631,16019,13431,4388,100,-2369.0061,7060,1031,1909,0.706,0.1031,0.1909,Contig4098,11631,16019,13167,1467,0.0054,0.0078,0.0076,0.0523,Contig4098,11631,16019,13167,1467,0.0046,0.0063,0.0082,0.0049,0.0076,0.0075,0.007,0.009,0.0089,0.0074,0.1006,0.0575,0.1784,0.0229,0.1981,0.0279,2,52.486,collinear
122758,Contig65672,116411,28475,34782,31089,6307,100,-1423.65562,7057,1175,1768,0.7057,0.1175,0.1768,Contig65672,28475,34782,30446,2405,0.0079,0.0065,0.0081,0.0482,Contig65672,28475,34782,30446,2405,0.007,0.0083,0.0061,0.0051,0.0092,0.0077,0.0072,0.0088,0.0084,0.0064,0.0492,0.0633,0.0769,0.0252,0.0965,0.0308,2,42.355,collinear
33691,Contig3754,19340,36,8504,4965,8468,100,-1212.04895,7038,1874,1088,0.7038,0.1874,0.1088,Contig3754,36,8504,4882,2304,0.0052,0.0052,0.0058,0.0382,Contig3754,36,8504,4882,2304,0.0051,0.0044,0.0051,0.005,0.005,0.0058,0.0056,0.0052,0.0049,0.0056,0.0114,0.0502,0.0485,0.01,0.0143,0.0271,2,37.5245,collinear
45420,Contig40263,48525,7215,26181,10612,18966,100,-1581.3064,7037,882,2081,0.7037,0.0882,0.2081,Contig40263,7215,26181,10211,2141,0.0046,0.0048,0.0053,0.049,Contig40263,7215,26181,10211,2141,0.0045,0.0021,0.0046,0.0043,0.005,0.0052,0.0056,0.0054,0.0055,0.0052,0.092,0.0548,0.1053,0.0466,0.1915,0.0429,2,60.9325,collinear
110947,Contig59600,106307,41692,43621,42443,1929,100,-1915.84338,7008,1513,1479,0.7008,0.1513,0.1479,Contig59600,41692,43621,42541,1538,0.0057,0.0084,0.0085,0.0675,Contig59600,41692,43621,42541,1538,0.0048,0.0043,0.008,0.007,0.0085,0.0078,0.0098,0.011,0.0113,0.0097,0.171,0.0695,0.2402,0.0609,0.2567,0.0656,2,38.415,collinear
111343,Contig59748,106647,2769,19019,5941,16250,100,-1483.64346,7006,1441,1553,0.7006,0.1441,0.1553,Contig59748,2769,19019,6275,3064,0.0041,0.0035,0.0042,0.0409,Contig59748,2769,19019,6275,3064,0.0042,0.0033,0.0031,0.0052,0.0045,0.0042,0.0057,0.0039,0.0051,0.005,0.0458,0.054,0.0926,0.0239,0.0691,0.0583,2,45.449,collinear
99111,Contig54983,96070,475,6413,2595,5938,100,-1293.29636,9784,197,19,0.9784,0.0197,0.0019,Contig54983,475,6413,2748,2866,0.0021,0.0027,0.0052,0.2988,Contig54983,475,6413,2748,2866,0.0015,0.0011,0.0018,0.0027,0.0039,0.005,0.0052,0.0058,0.0054,0.0048,0.3146,0.4299,0.4251,0.2051,0.3716,0.2493,3,24.7115,collinear
47165,Contig40623,50057,297,3007,1222,2710,100,-1233.70128,9666,169,165,0.9666,0.0169,0.0165,Contig40623,297,3007,1387,1726,0.0073,0.0029,0.0116,0.3869,Contig40623,297,3007,1387,1726,0.0069,0.0073,0.003,0.0022,0.0083,0.0114,0.0117,0.0125,0.0128,0.0026,0.0425,0.3865,0.3748,0.1968,0.4723,0.0046,3,27.969,collinear
130682,Contig70681,123246,80868,83917,82505,3049,100,-2127.23083,9217,464,319,0.9217,0.0464,0.0319,Contig70681,80868,83917,82404,1932,0.007,0.0071,0.0085,0.0712,Contig70681,80868,83917,82404,1932,0.0069,0.0067,0.0068,0.0062,0.008,0.0085,0.0091,0.0087,0.01,0.0088,0.0411,0.0866,0.1446,0.0297,0.1811,0.0808,3,23.46,collinear
70755,Contig46802,70841,220,13857,7921,13637,100,-964.91305,9140,450,410,0.914,0.045,0.041,Contig46802,220,13857,8345,2954,0.0039,0.0018,0.0036,0.1037,Contig46802,220,13857,8345,2954,0.004,0.0026,0.0017,0.0018,0.0036,0.0036,0.0037,0.0029,0.003,0.0018,0.0191,0.1119,0.0986,0.041,0.1252,0.0093,3,21.02,collinear
114694,Contig61351,109544,38958,43951,41363,4993,100,-1142.91957,9123,731,146,0.9123,0.0731,0.0146,Contig61351,38958,43951,41408,3238,0.0037,0.0014,0.0055,0.3664,Contig61351,38958,43951,41408,3238,0.0039,0.0013,0.0015,6.00E-04,0.0033,0.0056,0.0054,0.0055,0.0052,0.0013,0.0472,0.3482,0.3411,0.2247,0.6936,0.0442,3,29.1695,collinear
137430,Contig75754,128818,2413,6075,4203,3662,100,-1169.07301,8128,657,1215,0.8128,0.0657,0.1215,Contig75754,2413,6075,4228,3012,0.0035,0.0033,0.0039,0.0509,Contig75754,2413,6075,4228,3012,0.0033,0.0037,0.0033,0.0026,0.0044,0.0038,0.0036,0.0048,0.0047,0.0034,0.0594,0.0536,0.0897,0.0393,0.1736,0.0349,3,27.3695,collinear
48072,Contig40828,50888,869,13246,7865,12377,100,-1972.6087,7915,856,1229,0.7915,0.0856,0.1229,Contig40828,869,13246,7410,2131,0.0043,0.0048,0.005,0.0392,Contig40828,869,13246,7410,2131,0.0041,0.0048,0.0046,0.0046,0.005,0.0049,0.0052,0.0054,0.0057,0.0051,0.0346,0.0474,0.08,0.015,0.0767,0.0259,3,15.7065,collinear
47131,Contig40623,50079,118689,120747,119882,2058,100,-1195.29083,7677,2310,13,0.7677,0.231,0.0013,Contig40623,118689,120747,119738,1718,0.0056,0.0049,0.0069,0.1095,Contig40623,118689,120747,119738,1718,0.0057,0.004,0.0045,0.0045,0.0053,0.0069,0.0071,0.0064,0.0064,0.006,0.0197,0.1256,0.1426,0.0476,0.1621,0.0774,3,27.969,collinear
25324,Contig2383,12885,33545,40907,38777,7362,100,-1401.44676,7623,1490,887,0.7623,0.149,0.0887,Contig2383,33545,40907,38696,2158,0.006,0.0035,0.0104,0.3483,Contig2383,33545,40907,38696,2158,0.0058,0.0038,0.0029,0.0058,0.0066,0.0109,0.0095,0.0093,0.0081,0.005,0.0737,0.4099,0.219,0.1784,0.1934,0.0487,3,29.1695,collinear
130442,Contig70535,123039,73210,79182,76886,5972,100,-1059.58947,7619,1243,1138,0.7619,0.1243,0.1138,Contig70535,73210,79182,76785,1511,0.0101,0.0013,0.0088,0.256,Contig70535,73210,79182,76785,1511,0.0101,0.01,0.0012,0.0017,0.0101,0.0089,0.0092,0.0081,0.0084,0.0014,9.00E-04,0.2659,0.168,0.1381,0.2045,-0.001,3,18.415,collinear
31188,Contig3241,17373,7316,17279,11488,9963,100,-1640.31563,7534,910,1556,0.7534,0.091,0.1556,Contig3241,7316,17279,11189,2463,0.0046,0.0034,0.0045,0.0414,Contig3241,7316,17279,11189,2463,0.0032,0.0062,0.0034,0.0035,0.009,0.0037,0.004,0.0093,0.0093,0.0038,0.2281,0.0417,0.0806,0.1186,0.2958,0.0249,3,0,collinear
32262,Contig348,3016,71452,76105,74040,4653,100,-1509.34036,7490,1286,1224,0.749,0.1286,0.1224,Contig348,71452,76105,74381,2157,0.0053,0.0068,0.0074,0.0742,Contig348,71452,76105,74381,2157,0.0053,0.0046,0.0066,0.0059,0.0055,0.0075,0.007,0.0074,0.0066,0.0075,0.0229,0.0867,0.1062,0.0286,0.0877,0.0475,3,29.1695,collinear
25320,Contig2383,12886,40911,43806,42636,2895,100,-1668.88521,7486,1941,573,0.7486,0.1941,0.0573,Contig2383,40911,43806,42290,1643,0.0058,0.0058,0.0086,0.1546,Contig2383,40911,43806,42290,1643,0.0049,0.0069,0.0057,0.0054,0.0085,0.0082,0.0074,0.0118,0.0103,0.0063,0.1092,0.1725,0.1655,0.0926,0.2213,0.0368,3,29.1695,collinear
75237,Contig47939,74839,37477,39950,38658,2473,100,-1198.89578,7414,1905,681,0.7414,0.1905,0.0681,Contig47939,37477,39950,38686,2276,0.0032,0.004,0.0054,0.1567,Contig47939,37477,39950,38686,2276,0.0028,0.0013,0.0042,0.0026,0.0043,0.0056,0.0056,0.0044,0.004,0.0037,0.1731,0.1761,0.3192,0.0419,0.2489,0.0213,3,7.7255,collinear
136969,Contig7531,30300,35619,38285,36733,2666,100,-1519.57318,7343,1516,1141,0.7343,0.1516,0.1141,Contig7531,35619,38285,36960,1675,0.0051,0.0092,0.0085,0.0589,Contig7531,35619,38285,36960,1675,0.0051,0.0051,0.0082,0.0079,0.005,0.0081,0.0109,0.008,0.0105,0.0122,-0.0073,0.0688,0.2449,0.0168,0.1756,0.116,3,48.07,collinear
4247,Contig109349,145426,15713,17841,16892,2128,100,-1901.97431,7307,1270,1423,0.7307,0.127,0.1423,Contig109349,15713,17841,16917,1671,0.0045,0.004,0.0054,0.0973,Contig109349,15713,17841,16917,1671,0.0047,0.0018,0.0035,0.0022,0.0042,0.0055,0.0055,0.0045,0.005,0.0054,0.0531,0.1258,0.1981,0.0542,0.3632,0.1648,3,23.97973711,collinear
128552,Contig69159,121481,43539,51801,46192,8262,100,-1683.04318,7154,1042,1804,0.7154,0.1042,0.1804,Contig69159,43539,51801,47114,1245,0.0042,0.0057,0.0057,0.0495,Contig69159,43539,51801,47114,1245,0.004,0.0045,0.0056,0.0055,0.0049,0.0055,0.006,0.0058,0.0065,0.0059,0.0389,0.0534,0.1135,0.0146,0.0963,0.0138,3,18.415,collinear
25325,Contig2383,12882,22635,26726,24604,4091,100,-1290.86199,7102,1797,1101,0.7102,0.1797,0.1101,Contig2383,22635,26726,24593,3300,0.0035,0.0019,0.0043,0.2193,Contig2383,22635,26726,24593,3300,0.0036,0.0015,0.0015,0.003,0.0034,0.0044,0.0044,0.0039,0.0036,0.0027,0.0616,0.265,0.1223,0.1426,0.1552,0.0657,3,29.1695,collinear
1875,Contig103944,143931,44526,48231,46042,3705,100,-1600.16936,7064,1538,1398,0.7064,0.1538,0.1398,Contig103944,44526,48231,46125,1914,0.0057,0.0048,0.0058,0.0403,Contig103944,44526,48231,46125,1914,0.0058,0.0036,0.0046,0.0055,0.0054,0.0056,0.0066,0.0056,0.0066,0.0054,0.0319,0.0345,0.0704,0.0357,0.138,0.0208,3,27.3695,collinear
53345,Contig41981,55663,29255,35693,33831,6438,100,-1439.61388,7036,1200,1764,0.7036,0.12,0.1764,Contig41981,29255,35693,33639,1646,0.007,0.0067,0.0076,0.0403,Contig41981,29255,35693,33639,1646,0.0067,0.0077,0.0065,0.0055,0.0079,0.0074,0.0076,0.0078,0.0083,0.0069,0.0247,0.0478,0.097,0.0119,0.1021,0.0355,3,21.647,collinear
19664,Contig1808,9765,11041,15738,13749,4697,100,-1304.75336,10000,0,0,1,0,0,Contig1808,11041,15738,13515,2089,0.0065,0.0024,0.0113,0.4333,Contig1808,11041,15738,13515,2089,0.0062,0.0034,0.0022,0.0034,0.0082,0.0116,0.0124,0.0094,0.0101,0.003,0.1281,0.4686,0.3921,0.2339,0.4334,0.021,4,40.3905,collinear
61930,Contig43834,63318,86961,93845,90070,6884,100,-916.86388,8924,637,439,0.8924,0.0637,0.0439,Contig43834,86961,93845,90048,3065,0.0057,0.0046,0.0073,0.1422,Contig43834,86961,93845,90048,3065,0.0052,0.005,0.0049,0.0045,0.0088,0.0077,0.0074,0.0073,0.0069,0.005,0.1532,0.1742,0.1878,0.0476,0.1485,0.0137,4,10.6485,collinear
137690,Contig7597,30413,26297,40094,31165,13797,100,-1720.31286,8693,701,606,0.8693,0.0701,0.0606,Contig7597,26297,40094,31355,2382,0.0042,0.0058,0.0061,0.07,Contig7597,26297,40094,31355,2382,0.0043,0.0028,0.0045,0.0062,0.0041,0.0053,0.0102,0.0055,0.0104,0.0093,0.0368,0.0708,0.3146,0.0423,0.3014,0.1746,4,30.2985,collinear
95890,Contig53885,93244,18144,22007,20643,3863,100,-2227.6864,8661,652,687,0.8661,0.0652,0.0687,Contig53885,18144,22007,20667,1558,0.0063,0.0057,0.008,0.1161,Contig53885,18144,22007,20667,1558,0.0059,0.002,0.0056,0.0053,0.0077,0.0082,0.0083,0.0066,0.0066,0.0061,0.1462,0.1428,0.1776,0.0517,0.1995,0.0277,4,53.623,collinear
151749,Contig93798,140167,70815,97112,90970,26297,100,-1778.62631,8165,913,922,0.8165,0.0913,0.0922,Contig93798,70815,97112,90144,1872,0.007,0.0052,0.0083,0.1289,Contig93798,70815,97112,90144,1872,0.0065,0.0064,0.0049,0.0056,0.0077,0.0082,0.008,0.0076,0.0076,0.0054,0.0432,0.155,0.1211,0.0404,0.0977,0.0099,4,1.5085,LGC4.1
61928,Contig43834,63313,41831,51094,46045,9263,100,-1293.40883,7866,1828,306,0.7866,0.1828,0.0306,Contig43834,41831,51094,45700,2712,0.0049,0.0033,0.0052,0.1029,Contig43834,41831,51094,45700,2712,0.0042,0.0043,0.003,0.0044,0.0069,0.0049,0.0057,0.0058,0.0066,0.004,0.1338,0.1361,0.1299,0.071,0.1632,0.0241,4,10.6485,collinear
125318,Contig67240,118646,45540,47466,46542,1926,100,-1414.1027,7816,1208,976,0.7816,0.1208,0.0976,Contig67240,45540,47466,46496,1868,0.0044,0.0027,0.0052,0.1699,Contig67240,45540,47466,46496,1868,0.0041,0.0034,0.0027,0.0022,0.0052,0.0052,0.0043,0.0061,0.0052,0.0027,0.0848,0.1845,0.1306,0.1056,0.2753,0.0239,4,53.623,collinear
145125,Contig83788,135015,12637,15781,14174,3144,100,-1243.71699,7762,942,1296,0.7762,0.0942,0.1296,Contig83788,12637,15781,14133,2354,0.0023,0.0033,0.0037,0.0992,Contig83788,12637,15781,14133,2354,0.0022,0.0024,0.0032,0.0025,0.0028,0.0037,0.0035,0.0038,0.0037,0.0036,0.061,0.1155,0.1942,0.0336,0.174,0.0567,4,30.2985,collinear
40906,Contig39366,44425,38167,42061,39895,3894,100,-1529.43103,7749,1069,1182,0.7749,0.1069,0.1182,Contig39366,38167,42061,39619,1899,0.0047,0.003,0.0058,0.1844,Contig39366,38167,42061,39619,1899,0.0041,0.0048,0.0028,0.0036,0.0063,0.0059,0.0059,0.0055,0.0055,0.0034,0.0972,0.2289,0.1864,0.0608,0.1176,0.0196,4,4.3785,collinear
26194,Contig2504,13532,441,7461,4689,7020,100,-1399.9694,7717,1665,618,0.7717,0.1665,0.0618,Contig2504,441,7461,4050,2814,0.0049,0.005,0.0055,0.0436,Contig2504,441,7461,4050,2814,0.0043,0.0068,0.0048,0.0055,0.0063,0.0053,0.0055,0.0066,0.0071,0.0056,0.0351,0.0588,0.0551,0.0157,0.0608,0.0251,4,1.5085,LGC4.1
70673,Contig46780,70775,117313,123204,120716,5891,100,-1222.23295,7668,1341,991,0.7668,0.1341,0.0991,Contig46780,117313,123204,120542,2092,0.0047,0.0045,0.0053,0.0612,Contig46780,117313,123204,120542,2092,0.0045,0.0053,0.0037,0.0068,0.0058,0.005,0.0069,0.0063,0.0079,0.0067,0.045,0.0811,0.0949,0.047,0.0978,0.0794,4,34.929,collinear
125314,Contig67240,118638,11375,15755,13430,4380,100,-2014.67009,7629,1209,1162,0.7629,0.1209,0.1162,Contig67240,11375,15755,13448,2445,0.0043,0.0055,0.0064,0.102,Contig67240,11375,15755,13448,2445,0.0042,0.0035,0.0055,0.0056,0.0047,0.0066,0.0063,0.006,0.0055,0.0057,0.0467,0.1157,0.1192,0.0269,0.0719,0.0055,4,53.623,collinear
37254,Contig38666,41102,18405,20514,19327,2109,100,-800.79641,7611,247,2142,0.7611,0.0247,0.2142,Contig38666,18405,20514,19427,2016,0.0039,0.0016,0.0044,0.2266,Contig38666,18405,20514,19427,2016,7.00E-04,0.0052,0.001,0.0022,0.0132,0.0028,0.004,0.0128,0.014,0.0033,0.6596,0.4506,0.495,0.4499,0.5755,0.2621,4,7.6025,collinear
104308,Contig568,4701,25174,31708,28753,6534,100,-1730.07083,7420,1402,1178,0.742,0.1402,0.1178,Contig568,25174,31708,28462,1961,0.0067,0.0056,0.0077,0.0952,Contig568,25174,31708,28462,1961,0.0065,0.0042,0.0054,0.0057,0.0071,0.0074,0.0082,0.0085,0.0093,0.0059,0.0661,0.0891,0.1323,0.0663,0.2389,0.0158,4,4.941,collinear
21191,Contig1928,10497,55816,65948,61797,10132,100,-1293.63361,7418,1313,1269,0.7418,0.1313,0.1269,Contig1928,55816,65948,61596,3085,0.005,0.0049,0.0068,0.1239,Contig1928,55816,65948,61596,3085,0.005,0.0048,0.0049,0.0034,0.005,0.0065,0.0073,0.0071,0.0082,0.0047,0.0083,0.1091,0.2401,0.0459,0.294,0.0269,4,33.4235,collinear
88851,Contig51816,86915,3637,9706,5849,6069,100,-1179.12432,7380,1801,819,0.738,0.1801,0.0819,Contig51816,3637,9706,5761,1698,0.0077,0.0039,0.0072,0.099,Contig51816,3637,9706,5761,1698,0.0076,0.0076,0.0036,0.0062,0.0087,0.0069,0.0077,0.0094,0.0095,0.0052,0.0341,0.098,0.0438,0.0949,0.1329,0.0171,4,6.655,collinear
84500,Contig50600,83098,65699,69903,68072,4204,100,-1429.1594,7355,1609,1036,0.7355,0.1609,0.1036,Contig50600,65699,69903,68115,1788,0.0051,0.0051,0.0055,0.0299,Contig50600,65699,69903,68115,1788,0.0047,0.0042,0.0047,0.007,0.0062,0.0051,0.0062,0.0066,0.0076,0.0061,0.0855,0.0349,0.028,0.0459,0.1059,0.0146,4,32.744,collinear
133883,Contig72926,125994,82726,86074,84314,3348,100,-1455.03156,7288,1101,1611,0.7288,0.1101,0.1611,Contig72926,82726,86074,84591,2771,0.0029,0.0028,0.0032,0.0369,Contig72926,82726,86074,84591,2771,0.0026,0.0022,0.0027,0.0025,0.0039,0.003,0.0032,0.0039,0.0042,0.003,0.1261,0.0403,0.1057,0.0533,0.2347,0.0359,4,38.147,collinear
19498,Contig1797,9711,22254,27591,25557,5337,100,-1996.16419,7265,771,1964,0.7265,0.0771,0.1964,Contig1797,22254,27591,25763,1248,0.0061,0.007,0.0074,0.0451,Contig1797,22254,27591,25763,1248,0.0058,0.0047,0.0066,0.0067,0.0071,0.0072,0.008,0.0077,0.009,0.0081,0.077,0.0558,0.1165,0.032,0.1703,0.0548,4,4.3785,collinear
125321,Contig67240,118639,15791,20325,18181,4534,100,-1820.5384,7259,1631,1110,0.7259,0.1631,0.111,Contig67240,15791,20325,18379,2535,0.0035,0.0037,0.0052,0.139,Contig67240,15791,20325,18379,2535,0.0037,0.0016,0.0034,0.0049,0.0034,0.0052,0.0053,0.0049,0.0048,0.0045,0.0511,0.1578,0.1052,0.0708,0.125,0.0268,4,53.623,collinear
139846,Contig78126,130738,5194,7056,6202,1862,100,-2657.63789,7221,1825,954,0.7221,0.1825,0.0954,Contig78126,5194,7056,6126,1428,0.0074,0.0082,0.0092,0.062,Contig78126,5194,7056,6126,1428,0.0067,0.0075,0.008,0.0068,0.0095,0.009,0.0081,0.0114,0.0096,0.009,0.0817,0.0784,0.0803,0.0465,0.1232,0.0507,4,1.5085,LGC4.1
88852,Contig51816,86916,9709,19974,13628,10265,100,-1206.47982,7205,2004,791,0.7205,0.2004,0.0791,Contig51816,9709,19974,15671,1840,0.0078,0.002,0.0067,0.1704,Contig51816,9709,19974,15671,1840,0.0073,0.009,0.0016,0.0037,0.0092,0.0063,0.0066,0.0089,0.0087,0.0028,0.0339,0.192,0.0788,0.1591,0.1499,0.0195,4,6.655,collinear
44046,Contig39987,47259,3359,12544,8018,9185,100,-1175.69445,7120,1164,1716,0.712,0.1164,0.1716,Contig39987,3359,12544,7845,1855,0.0055,0.0051,0.007,0.1128,Contig39987,3359,12544,7845,1855,0.0055,0.0038,0.0048,0.0057,0.0054,0.0067,0.0074,0.0076,0.0085,0.0053,0.0374,0.1053,0.1311,0.0677,0.2182,0.0037,4,6.082,collinear
37255,Contig38666,41103,20516,23248,21930,2732,100,-1026.61451,7110,2628,262,0.711,0.2628,0.0262,Contig38666,20516,23248,21923,2409,0.0041,0.0021,0.0042,0.1306,Contig38666,20516,23248,21923,2409,0.0039,0.0026,0.0012,0.0029,0.005,0.0037,0.0058,0.0048,0.0068,0.0046,0.106,0.1878,0.2297,0.1876,0.3525,0.301,4,7.6025,collinear
135803,Contig74382,127506,71822,79198,73263,7376,100,-1233.25254,7077,1540,1383,0.7077,0.154,0.1383,Contig74382,71822,79198,73616,2047,0.0023,0.0025,0.0027,0.0463,Contig74382,71822,79198,73616,2047,0.0023,0.0015,0.0023,0.0029,0.0024,0.0026,0.0032,0.0026,0.0033,0.003,0.0571,0.0516,0.0976,0.0312,0.1385,0.0369,4,26.7265,collinear
34487,Contig38118,38582,73769,78034,75604,4265,100,-958.72645,7033,968,1999,0.7033,0.0968,0.1999,Contig38118,73769,78034,75642,3650,0.0043,0.0022,0.0072,0.355,Contig38118,73769,78034,75642,3650,0.0031,0.0015,0.0015,0.005,0.0079,0.0082,0.007,0.0022,0.0042,0.004,0.3203,0.5365,0.2549,0.0438,0.0762,0.0777,4,25.314,collinear
39739,Contig39155,43427,6308,9114,7508,2806,100,-1329.4124,10000,0,0,1,0,0,Contig39155,6308,9114,7562,1915,0.0087,0.0046,0.0101,0.1891,Contig39155,6308,9114,7562,1915,0.0082,0.009,0.0046,0.0049,0.01,0.0101,0.0104,0.01,0.0102,0.0047,0.0394,0.2027,0.1923,0.065,0.1742,-0.0018,5,14.224,collinear
39738,Contig39155,43428,9123,11450,10205,2327,100,-1175.16361,9996,0,4,0.9996,0,4.00E-04,Contig39155,9123,11450,10225,1419,0.0061,0.0023,0.0072,0.264,Contig39155,9123,11450,10225,1419,0.006,0.0042,0.0022,0.0024,0.0063,0.0074,0.0076,0.0057,0.0059,0.0023,0.0497,0.2871,0.2424,0.1025,0.2561,0.0032,5,14.224,collinear
39736,Contig39155,43429,11473,13231,12363,1758,100,-1449.53693,9995,5,0,0.9995,5.00E-04,0,Contig39155,11473,13231,12354,1413,0.0085,0.0023,0.0093,0.2784,Contig39155,11473,13231,12354,1413,0.0082,0.0063,0.0023,0.002,0.0097,0.0095,0.0094,0.0082,0.0081,0.0021,0.0721,0.2988,0.2387,0.141,0.3337,-0.0024,5,14.224,collinear
39735,Contig39155,43431,16534,23566,17726,7032,100,-1229.53532,9962,26,12,0.9962,0.0026,0.0012,Contig39155,16534,23566,17985,1459,0.0052,0.002,0.0063,0.2663,Contig39155,16534,23566,17985,1459,0.0052,0.0031,0.0019,0.0016,0.0051,0.0065,0.0063,0.0045,0.0043,0.0019,0.044,0.29,0.2428,0.0947,0.2703,0.013,5,14.224,collinear
39737,Contig39155,43430,13232,16525,15048,3293,100,-1353.68149,9911,77,12,0.9911,0.0077,0.0012,Contig39155,13232,16525,14891,1771,0.0049,0.0012,0.0106,0.5678,Contig39155,13232,16525,14891,1771,0.0047,0.0035,0.0014,5.00E-04,0.0058,0.0107,0.0109,0.0096,0.0098,9.00E-04,0.086,0.5711,0.5352,0.3384,0.7145,0.008,5,14.224,collinear
39734,Contig39155,43426,87,6305,3303,6218,100,-1185.58457,9206,341,453,0.9206,0.0341,0.0453,Contig39155,87,6305,3089,1925,0.004,0.0015,0.0042,0.2101,Contig39155,87,6305,3089,1925,0.0038,0.0042,0.0015,0.0015,0.0046,0.0041,0.0042,0.005,0.005,0.0016,0.0374,0.2152,0.183,0.1225,0.273,0.0154,5,14.224,collinear
75450,Contig47963,75024,176627,178846,177618,2219,100,-1207.8719,9084,473,443,0.9084,0.0473,0.0443,Contig47963,176627,178846,177778,1927,0.0052,0.0042,0.0072,0.1801,Contig47963,176627,178846,177778,1927,0.0039,0.0059,0.0045,0.0018,0.0091,0.0068,0.0069,0.0098,0.0098,0.0035,0.2014,0.188,0.3672,0.0964,0.4548,0.0216,5,11.683,collinear
73283,Contig47453,73088,3315,10011,6345,6696,100,-1456.24094,8911,623,466,0.8911,0.0623,0.0466,Contig47453,3315,10011,6094,2055,0.005,0.0049,0.0064,0.1037,Contig47453,3315,10011,6094,2055,0.0047,0.0044,0.005,0.0039,0.0057,0.0063,0.0062,0.0072,0.0074,0.0046,0.059,0.0984,0.1592,0.0508,0.2392,0.0059,5,14.224,collinear
40413,Contig39263,43972,11883,17858,14860,5975,100,-1211.54182,8899,823,278,0.8899,0.0823,0.0278,Contig39263,11883,17858,14983,2939,0.0042,0.0034,0.0043,0.0442,Contig39263,11883,17858,14983,2939,0.0036,0.0038,0.0033,0.0043,0.006,0.0039,0.0045,0.0058,0.0062,0.0039,0.1387,0.0521,0.0625,0.0688,0.1679,0.0104,5,15.58120996,collinear
115072,Contig61492,109837,4063,15198,10569,11135,100,-1707.50928,8529,679,792,0.8529,0.0679,0.0792,Contig61492,4063,15198,10049,3279,0.0023,0.0036,0.0052,0.2058,Contig61492,4063,15198,10049,3279,0.0024,9.00E-04,0.0036,0.0035,0.002,0.0052,0.0049,0.0052,0.005,0.0037,0.0381,0.2048,0.2411,0.0825,0.2684,0.0087,5,20.4885,collinear
90649,Contig52336,88529,289,10071,8462,9782,100,-1956.04227,8272,1689,39,0.8272,0.1689,0.0039,Contig52336,289,10071,7406,1632,0.0083,0.0059,0.0111,0.1909,Contig52336,289,10071,7406,1632,0.0079,0.0081,0.0061,0.0093,0.0122,0.0112,0.0128,0.0138,0.0141,0.0079,0.1174,0.1994,0.1834,0.1011,0.1877,0.0064,5,7.556008486,collinear
73284,Contig47453,73092,17541,23615,21475,6074,100,-1558.5922,8240,659,1101,0.824,0.0659,0.1101,Contig47453,17541,23615,20740,2215,0.0058,0.0056,0.0067,0.062,Contig47453,17541,23615,20740,2215,0.0057,0.0047,0.0054,0.0058,0.0058,0.0066,0.0069,0.006,0.0063,0.0057,0.027,0.07,0.0816,0.0192,0.0686,0.0056,5,14.224,collinear
73281,Contig47453,73090,12525,14223,13321,1698,100,-1516.62255,8132,950,918,0.8132,0.095,0.0918,Contig47453,12525,14223,13340,1513,0.0072,0.0057,0.0081,0.0995,Contig47453,12525,14223,13340,1513,0.0066,0.0058,0.0057,0.0048,0.009,0.0079,0.0081,0.0093,0.0091,0.0056,0.0994,0.1057,0.155,0.0616,0.2277,0.0179,5,14.224,collinear
128178,Contig68996,121184,1008,9628,4086,8620,100,-1065.47591,7684,494,1822,0.7684,0.0494,0.1822,Contig68996,1008,9628,4380,3765,0.0025,0.0031,0.0033,0.0606,Contig68996,1008,9628,4380,3765,0.0023,0.0021,0.0031,0.0019,0.0025,0.0032,0.0028,0.0035,0.0032,0.0029,0.0319,0.0615,0.1203,0.0308,0.1826,0.0317,5,0,collinear
75444,Contig47963,75025,178876,181336,180046,2460,100,-1123.57167,7403,938,1659,0.7403,0.0938,0.1659,Contig47963,178876,181336,180124,2317,0.0022,0.0027,0.0032,0.0921,Contig47963,178876,181336,180124,2317,0.002,0.0022,0.0026,0.0031,0.003,0.003,0.0036,0.0039,0.0046,0.0031,0.1023,0.0931,0.1698,0.0557,0.206,0.0187,5,11.683,collinear
152988,Contig96,849,1495,10932,8162,9437,100,-1957.63048,7302,1660,1038,0.7302,0.166,0.1038,Contig96,1495,10932,7078,1897,0.0076,0.0079,0.0095,0.079,Contig96,1495,10932,7078,1897,0.0079,0.0069,0.007,0.0085,0.0077,0.0091,0.0128,0.0092,0.0127,0.0109,0.0099,0.0819,0.2047,0.0331,0.1941,0.1002,5,53.756,collinear
